team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Lucas Vázquez\Lucas-Vazquez,es ESP,FW,29,2,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.05,0.09,0.14,0.05,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,24,1,1,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Éder Militão\Eder-Militao,br BRA,DF,22,1,0,45,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Borja Mayoral\Borja-Mayoral,es ESP,FW,23,2,0,23,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Marvin Olawale Akinlabi Park\Marvin-Olawale-Akinlabi-Park,es ESP,FW,20,1,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Sergio Arribas\Sergio-Arribas,es ESP,FW,18,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Diego Altube\Diego-Altube,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Lucas Cañizars\Lucas-Canizars,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Jan Oblak\Jan-Oblak,si SVN,GK,27,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Kieran Trippier\Kieran-Trippier,eng ENG,DF,29,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.06,0.06,0.00,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
